Timestamp,Car Up,Car Down,Bus Up,Bus Down,Truck Up,Truck Down,Motorcycle Up,Motorcycle Down,Avg Speed
2024-06-23 14:53:30,0,0,1,0,0,0,0,0,28.82300725657821
2024-06-23 14:53:40,0,0,1,1,1,0,1,0,49.797809911898874
2024-06-23 14:53:50,1,0,1,1,2,1,2,0,49.01261893219025
2024-06-23 14:54:00,2,1,1,1,3,2,2,0,50.86855081628635
2024-06-23 14:54:10,3,2,2,1,3,2,2,0,65.57402910106431
2024-06-23 14:54:20,3,2,2,1,3,2,2,0,0
2024-06-23 14:54:30,3,2,2,1,4,3,2,1,67.92222066938426
2024-06-23 14:54:40,3,3,2,1,4,4,3,1,67.0015137456154
2024-06-23 14:54:51,3,3,2,1,4,4,5,1,38.04644287266129
2024-06-23 14:55:01,3,3,2,1,5,5,6,1,63.65343823288553
2024-06-23 14:55:11,4,4,2,1,6,6,8,1,60.0251630327056
2024-06-23 14:55:21,6,5,2,1,7,7,8,1,65.49656923978509
2024-06-23 14:55:31,6,5,2,1,7,9,8,1,78.79315508791555
2024-06-23 14:55:41,6,5,2,1,7,9,8,2,48.64847560857737
2024-06-23 14:55:51,6,5,2,1,8,10,8,3,48.383480239301775
2024-06-23 14:56:01,6,6,2,1,8,13,8,3,61.33601292962315
2024-06-23 14:56:11,6,6,3,1,8,14,9,3,33.19203878466722
2024-06-23 14:56:21,6,6,3,2,9,14,9,3,35.055280980722486
2024-06-23 14:56:31,7,6,3,2,9,15,12,3,59.15899200169291
2024-06-23 14:56:41,8,7,3,2,10,16,14,3,45.72052887351671
2024-06-23 14:56:51,9,7,3,3,11,16,14,3,58.39085921380843
2024-06-23 14:57:01,9,7,4,3,11,16,14,3,26.60742773859071
2024-06-23 14:57:11,9,7,4,3,11,16,14,3,0
2024-06-23 14:57:21,9,7,4,3,12,16,14,4,40.708787571675785
2024-06-23 14:57:32,9,7,4,3,12,19,14,4,56.17964476620381
2024-06-23 14:57:42,9,8,4,3,12,19,15,4,40.26183794134534
2024-06-23 14:57:52,9,8,4,4,13,19,15,4,34.68038823207909
2024-06-23 14:58:02,10,8,4,4,13,20,17,4,47.280802731989624
2024-06-23 14:58:12,11,9,4,4,14,21,17,4,51.071372114241974
2024-06-23 14:58:22,12,10,5,4,15,21,17,4,56.353216606018826
2024-06-23 14:58:32,12,10,5,4,15,21,17,4,0
2024-06-23 14:58:42,12,10,5,4,15,21,17,4,0
2024-06-23 14:58:52,12,10,5,4,16,22,17,5,49.086678359000345
2024-06-23 14:59:02,12,11,5,4,16,24,18,5,55.996279530496594
2024-06-23 14:59:12,12,11,6,4,16,24,19,5,23.23291189069532
